Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
493410,TEST001,This is a test product.,5,2010,4.5,12346,United Kingdom
C493411,21539,RETRO SPOTS BUTTER DISH,-1,2010,4.25,14590,United Kingdom
493412,TEST001,This is a test product.,5,2010,4.5,12346,United Kingdom
493414,21844,RETRO SPOT MUG,36,2010,2.55,14590,United Kingdom
493414,21533,RETRO SPOT LARGE MILK JUG,12,2010,4.25,14590,United Kingdom
493414,37508,NEW ENGLAND CERAMIC CAKE SERVER,2,2010,2.55,14590,United Kingdom
493414,35001G,HAND OPEN SHAPE GOLD,2,2010,4.25,14590,United Kingdom
493414,21527,RETRO SPOT TRADITIONAL TEAPOT ,12,2010,6.95,14590,United Kingdom
493414,21531,RETRO SPOT SUGAR JAM BOWL,24,2010,2.1,14590,United Kingdom
C493415,21527,RETRO SPOT TRADITIONAL TEAPOT ,-3,2010,7.95,14590,United Kingdom
C493426,22109,FULL ENGLISH BREAKFAST PLATE,-1,2010,3.39,16550,United Kingdom
493427,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010,5.95,13287,United Kingdom
493427,21681,GIANT MEDINA STAMPED METAL BOWL ,2,2010,9.95,13287,United Kingdom
493427,21682,LARGE MEDINA STAMPED METAL BOWL ,4,2010,4.95,13287,United Kingdom
493427,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,2010,2.55,13287,United Kingdom
493427,21577,SAVE THE PLANET COTTON TOTE BAG,6,2010,2.25,13287,United Kingdom
493427,21576,LETS GO SHOPPING COTTON TOTE BAG,6,2010,2.25,13287,United Kingdom
493427,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,2010,1.49,13287,United Kingdom
493427,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010,1.25,13287,United Kingdom
493427,79000,MOROCCAN TEA GLASS,12,2010,0.85,13287,United Kingdom
493427,84499,BLACK FLOWER CANDLE PLATE,12,2010,0.85,13287,United Kingdom
493427,72780,BLACK SILOUETTE CANDLE PLATE,12,2010,0.85,13287,United Kingdom
493427,22214,CANDLE PLATE LACE WHITE,6,2010,2.55,13287,United Kingdom
493427,72369A,PINK CLEAR GLASS CANDLE PLATE,6,2010,1.25,13287,United Kingdom
493427,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2010,4.25,13287,United Kingdom
493427,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010,1.25,13287,United Kingdom
493427,84615,PINK ROUND BUTTERFLY MIRROR ,2,2010,7.95,13287,United Kingdom
493427,84686,BEACH HUT MIRROR,2,2010,4.25,13287,United Kingdom
493427,21777,RECIPE BOX WITH METAL HEART,2,2010,7.95,13287,United Kingdom
493428,84563A,PINK & WHITE BREAKFAST TRAY,1,2010,5.95,16550,United Kingdom
493428,84562A,PINK/WHITE RIBBED MELAMINE JUG,1,2010,7.95,16550,United Kingdom
493428,22347,PIZZA SLICE DISH,6,2010,1.25,16550,United Kingdom
493428,21658,GLASS  BEURRE DISH,2,2010,3.95,16550,United Kingdom
493428,22084,PAPER CHAIN KIT EMPIRE,4,2010,2.95,16550,United Kingdom
493428,22083,PAPER CHAIN KIT RETRO SPOT,6,2010,2.95,16550,United Kingdom
493428,22197,"POPCORN HOLDER , SMALL ",6,2010,0.85,16550,United Kingdom
493428,22198,"POPCORN HOLDER , LARGE",6,2010,1.65,16550,United Kingdom
493428,84988,SET OF 72 PINK HEART PAPER DOILIES,10,2010,1.45,16550,United Kingdom
493428,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,4,2010,2.55,16550,United Kingdom
493428,21558,SKULL LUNCHBOX WITH CUTLERY ,1,2010,2.55,16550,United Kingdom
493428,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,4,2010,2.55,16550,United Kingdom
